# Nederlands in gang, hoofdstuk 4: Op straat
de straat,street
vriend,friend
komt tegen (tegenkomen),meets
hé,hey
geleden,ago
leuk,nice
prima,wonderful
jou,you
het gaat wel,all right
problemen (het probleem),problems
buren,neighbours
niet zo,not so
belangrijk,important
gaan (gaan),go
de week,week
een paar dagen (dag),a few days
Venetië,Venice
wauw,wow
prachtig,fine / splendid
veel,many
foto's maken,take photos
sinds,since
nieuw,new
de camera,camera
romantische (romantisch),romantic
de film,film
na,after
kijken naar,look at
direct,right now
iets,something
afspreken,set a date / make an appointment
goed,okay
thuis,at home
de afspraak,date / appointment
maken,to make
de datum,date
dat lukt niet (lukken),that doesn't work
dan,then
kan (kunnen),can
blijf (blijven),stay
eten,eat
zal (zullen),will / shall
de spaghetti carbonara,spaghetti carbonara
het plan,plan
schrijf (schrijven),write
de agenda,diary
hartstikke,very / completely
hartstikke leuk,terrific / fantastic
vind ik ook (vinden),I think so too
ik moet ervandoor,I have to go
ervandoor,away / off
gauw,quickly
de winkel,shop
wens (wensen),wish
jullie,you
fijne (fijn),nice / good
doe de groeten aan (de groeten doen aan),give my regards to
volgende,next
tot dan,until then
