# Nederlands in gang, hoofdstuk 1: Welkom
welkom (in),welcome (to)
goedemorgen,good morning
allemaal,everyone
de cursus,course
de,the
Nederlands,Dutch
ik,I
ben (zijn),am
en,and
jullie,your (plural)
de docent,teacher
docenten (docent),teachers
jullie,you (plural)
hebben (hebben),have
twee,two
andere,other
is (zijn),is
hij,he
geeft les (lesgeven),teaches
dagen (de dag),days
drie,three
we,we
beginnen (beginnen),begin / start
met,with
kennismaken,get to know
wie,who
ben (zijn),are
jij,you
wat,what
jouw,your (singular)
de naam,name
mijn,my
dag,day
je,your (singular)
de voornaam,first name
de achternaam,surname
uit,from
welk,which
het land,country
Engeland,England
kom (komen),come
de buurman,neighbour
van,of
hoe,how (what)
hoe heet jij?,what's your name?
heet (heten),is called
waar ... vandaan,where ... from
waar,where
China,China
woon (wonen),live
nu,now
het adres,address
het nummer,number
het antwoord,answer
nee,no
de postcode,postal code
u,you
mevrouw,Ms / Mrs
woont (wonen),live
ook,also
in,in
zeg (zeggen),call (say)
maar,but (just)
hoor,"(for friendliness, usually not translated)"
ja,yes
hier,here
al,already
twintig,twenty
het jaar,year
gaan verder (verdergaan),go on (continue)
de les,lesson
heeft (hebben),has
iedereen,everyone
het boek,book
het,the
de tekst,text
één,one
op,on
de bladzijde,page
acht,eight
luisteren,listen
naar,to
lezen,read
stoppen (stoppen),stop
even,for a moment
het is,it is
de pauze,break
tot straks,see you later
straks,soon / later
